% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.574	1	1	58	5	1	28	9422	0	0
0.575	1	2	58	6	2	28	9422	0	0
0.576	1	1	58	7	1	28	9422	0	0
0.577	1	2	58	8	2	28	9422	0	0
0.579	1	1	58	10	1	28	9422	0	0
0.58	1	2	59	1	2	28	9422	0	0
0.581	1	1	59	2	1	28	9422	0	0
0.582	1	2	59	3	2	28	9422	0	0
0.583	1	1	59	4	1	28	9422	0	0
0.584	1	2	59	5	2	28	9422	0	0
0.585	1	1	59	6	1	28	9422	0	0
0.586	1	2	59	7	2	28	9422	0	0
0.588	1	1	59	9	1	28	9422	0	0
0.589	1	2	59	10	2	28	9422	0	0
0.59	1	1	60	1	1	28	9422	0	0
0.591	1	2	60	2	2	28	9422	0	0
0.592	1	1	60	3	1	28	9422	0	0
0.593	1	2	60	4	2	28	9422	0	0
0.594	1	1	60	5	1	28	9422	0	0
0.595	1	2	60	6	2	28	9422	0	0
0.597	1	1	60	8	1	28	9422	0	0
0.598	1	2	60	9	2	28	9422	0	0
0.599	1	1	60	10	1	28	9422	0	0
0.6	1	2	61	1	2	28	9422	0	0
0.601	1	1	61	2	1	28	9422	0	0
0.602	1	2	61	3	2	28	9422	0	0
0.603	1	1	61	4	1	28	9422	0	0
0.604	1	2	61	5	2	28	9422	0	0
0.606	1	1	61	7	1	28	9422	0	0
0.607	1	2	61	8	2	28	9422	0	0
0.608	1	1	61	9	1	28	9422	0	0
0.609	1	2	61	10	2	28	9422	0	0
0.61	1	1	62	1	1	28	9422	0	0
0.611	1	2	62	2	2	28	9422	0	0
0.612	1	1	62	3	1	28	9422	0	0
0.613	1	2	62	4	2	28	9422	0	0
0.615	1	1	62	6	1	28	9422	0	0
0.616	1	2	62	7	2	28	9422	0	0
0.617	1	1	62	8	1	28	9422	0	0
0.618	1	2	62	9	2	28	9422	0	0
0.619	1	1	62	10	1	28	9422	0	0
0.62	1	2	63	1	2	28	9422	0	0
0.621	1	1	63	2	1	28	9422	0	0
0.622	1	2	63	3	2	28	9422	0	0
0.623	1	1	63	4	1	28	9422	0	0
0.624	1	2	63	5	2	28	9422	0	0
0.626	1	1	63	7	1	28	9422	0	0
0.627	1	2	63	8	2	28	9422	0	0
0.628	1	1	63	9	1	28	9422	0	0
0.629	1	2	63	10	2	28	9422	0	0
0.63	1	1	64	1	1	28	9422	0	0
0.631	1	2	64	2	2	28	9422	0	0
0.632	1	1	64	3	1	28	9422	0	0
0.633	1	2	64	4	2	28	9422	0	0
0.635	1	1	64	6	1	28	9422	0	0
0.636	1	2	64	7	2	28	9422	0	0
0.637	1	1	64	8	1	28	9422	0	0
0.638	1	2	64	9	2	28	9422	0	0
0.639	1	1	64	10	1	28	9422	0	0
0.64	1	2	65	1	2	28	9422	0	0
0.641	1	1	65	2	1	28	9422	0	0
0.642	1	2	65	3	2	28	9422	0	0
0.644	1	1	65	5	1	28	9422	0	0
0.645	1	2	65	6	2	28	9422	0	0
0.646	1	1	65	7	1	28	9422	0	0
0.647	1	2	65	8	2	28	9422	0	0
0.648	1	1	65	9	1	28	9422	0	0
0.649	1	2	65	10	2	28	9422	0	0
0.65	1	1	66	1	1	28	9422	0	0
0.651	1	2	66	2	2	28	9422	0	0
0.653	1	1	66	4	1	28	9422	0	0
0.654	1	2	66	5	2	28	9422	0	0
0.655	1	1	66	6	1	28	9422	0	0
0.656	1	2	66	7	2	28	9422	0	0
0.657	1	1	66	8	1	28	9422	0	0
0.658	1	2	66	9	2	28	9422	0	0
0.659	1	1	66	10	1	28	9422	0	0
0.66	1	2	67	1	2	28	9422	0	0
0.662	1	1	67	3	1	28	9422	0	0
0.663	1	2	67	4	2	28	9422	0	0
0.664	1	1	67	5	1	28	9422	0	0
0.665	1	2	67	6	2	28	9422	0	0
0.666	1	1	67	7	1	28	9422	0	0
0.667	1	2	67	8	2	28	9422	0	0
0.668	1	1	67	9	1	28	9422	0	0
0.669	1	2	67	10	2	28	9422	0	0
0.671	1	1	68	2	1	28	9422	0	0
0.672	1	2	68	3	2	28	9422	0	0
0.673	1	1	68	4	1	28	9422	0	0
0.674	1	2	68	5	2	28	9422	0	0
0.675	1	1	68	6	1	28	9422	0	0
0.676	1	2	68	7	2	28	9422	0	0
0.677	1	1	68	8	1	28	9422	0	0
0.678	1	2	68	9	2	28	9422	0	0
0.679	1	1	68	10	1	28	9422	0	0
0.68	1	2	69	1	2	28	9422	0	0
0.682	1	1	69	3	1	28	9422	0	0
0.683	1	2	69	4	2	28	9422	0	0
0.684	1	1	69	5	1	28	9422	0	0
0.685	1	2	69	6	2	28	9422	0	0
0.686	1	1	69	7	1	28	9422	0	0
0.687	1	2	69	8	2	28	9422	0	0
0.688	1	1	69	9	1	28	9422	0	0
0.689	1	2	69	10	2	28	9422	0	0
0.691	1	1	70	2	1	28	9422	0	0
0.692	1	2	70	3	2	28	9422	0	0
0.693	1	1	70	4	1	28	9422	0	0
0.694	1	2	70	5	2	28	9422	0	0
0.695	1	1	70	6	1	28	9422	0	0
0.696	1	2	70	7	2	28	9422	0	0
0.697	1	1	70	8	1	28	9422	0	0
0.698	1	2	70	9	2	28	9422	0	0
0.7	1	1	71	1	1	28	9422	0	0
0.701	1	2	71	2	2	28	9422	0	0
0.702	1	1	71	3	1	28	9422	0	0
0.703	1	2	71	4	2	28	9422	0	0
0.704	1	1	71	5	1	28	9422	0	0
0.705	1	2	71	6	2	28	9422	0	0
0.706	1	1	71	7	1	28	9422	0	0
0.707	1	2	71	8	2	28	9422	0	0
0.709	1	1	71	10	1	28	9422	0	0
0.71	1	2	72	1	2	28	9422	0	0
0.711	1	1	72	2	1	28	9422	0	0
0.712	1	2	72	3	2	28	9422	0	0
0.713	1	1	72	4	1	28	9422	0	0
0.714	1	2	72	5	2	28	9422	0	0
0.715	1	1	72	6	1	28	9422	0	0
0.716	1	2	72	7	2	28	9422	0	0
0.718	1	1	72	9	1	28	9422	0	0
0.719	1	2	72	10	2	28	9422	0	0
0.72	1	1	73	1	1	28	9422	0	0
0.721	1	2	73	2	2	28	9422	0	0
0.722	1	1	73	3	1	28	9422	0	0
0.723	1	2	73	4	2	28	9422	0	0
0.724	1	1	73	5	1	28	9422	0	0
0.725	1	2	73	6	2	28	9422	0	0
0.727	1	1	73	8	1	28	9422	0	0
0.728	1	2	73	9	2	28	9422	0	0
0.729	1	1	73	10	1	28	9422	0	0
0.73	1	2	74	1	2	28	9422	0	0
0.731	1	1	74	2	1	28	9422	0	0
0.732	1	2	74	3	2	28	9422	0	0
0.733	1	1	74	4	1	28	9422	0	0
0.734	1	2	74	5	2	28	9422	0	0
0.735	1	1	74	6	1	28	9422	0	0
0.736	1	2	74	7	2	28	9422	0	0
0.738	1	1	74	9	1	28	9422	0	0
0.739	1	2	74	10	2	28	9422	0	0
0.74	1	1	75	1	1	28	9422	0	0
0.741	1	2	75	2	2	28	9422	0	0
0.742	1	1	75	3	1	28	9422	0	0
0.743	1	2	75	4	2	28	9422	0	0
0.744	1	1	75	5	1	28	9422	0	0
0.745	1	2	75	6	2	28	9422	0	0
0.747	1	1	75	8	1	28	9422	0	0
0.748	1	2	75	9	2	28	9422	0	0
0.749	1	1	75	10	1	28	9422	0	0
0.75	1	2	76	1	2	28	9422	0	0
0.751	1	1	76	2	1	28	9422	0	0
0.752	1	2	76	3	2	28	9422	0	0
0.753	1	1	76	4	1	28	9422	0	0
0.754	1	2	76	5	2	28	9422	0	0
0.756	1	1	76	7	1	28	9422	0	0
0.757	1	2	76	8	2	28	9422	0	0
0.758	1	1	76	9	1	28	9422	0	0
0.759	1	2	76	10	2	28	9422	0	0
0.76	1	1	77	1	1	28	9422	0	0
0.761	1	2	77	2	2	28	9422	0	0
0.762	1	1	77	3	1	28	9422	0	0
0.763	1	2	77	4	2	28	9422	0	0
0.765	1	1	77	6	1	28	9422	0	0
0.766	1	2	77	7	2	28	9422	0	0
0.767	1	1	77	8	1	28	9422	0	0
0.768	1	2	77	9	2	28	9422	0	0
0.769	1	1	77	10	1	28	9422	0	0
0.77	1	2	78	1	2	28	9422	0	0
0.771	1	1	78	2	1	28	9422	0	0
0.772	1	2	78	3	2	28	9422	0	0
0.774	1	1	78	5	1	28	9422	0	0
0.775	1	2	78	6	2	28	9422	0	0
0.776	1	1	78	7	1	28	9422	0	0
0.777	1	2	78	8	2	28	9422	0	0
0.778	1	1	78	9	1	28	9422	0	0
0.779	1	2	78	10	2	28	9422	0	0
0.78	1	1	79	1	1	28	9422	0	0
0.781	1	2	79	2	2	28	9422	0	0
0.783	1	1	79	4	1	28	9422	0	0
0.784	1	2	79	5	2	28	9422	0	0
0.785	1	1	79	6	1	28	9422	0	0
0.786	1	2	79	7	2	28	9422	0	0
0.787	1	1	79	8	1	28	9422	0	0
0.788	1	2	79	9	2	28	9422	0	0
0.789	1	1	79	10	1	28	9422	0	0
0.79	1	2	80	1	2	28	9422	0	0
0.791	1	1	80	2	1	28	9422	0	0
0.792	1	2	80	3	2	28	9422	0	0
0.794	1	1	80	5	1	28	9422	0	0
0.795	1	2	80	6	2	28	9422	0	0
0.796	1	1	80	7	1	28	9422	0	0
0.797	1	2	80	8	2	28	9422	0	0
0.798	1	1	80	9	1	28	9422	0	0
0.799	1	2	80	10	2	28	9422	0	0
0.8	1	1	81	1	1	28	9422	0	0
0.801	1	2	81	2	2	28	9422	0	0
0.803	1	1	81	4	1	28	9422	0	0
0.804	1	2	81	5	2	28	9422	0	0
0.805	1	1	81	6	1	28	9422	0	0
0.806	1	2	81	7	2	28	9422	0	0
0.807	1	1	81	8	1	28	9422	0	0
0.808	1	2	81	9	2	28	9422	0	0
0.809	1	1	81	10	1	28	9422	0	0
0.81	1	2	82	1	2	28	9422	0	0
0.812	1	1	82	3	1	28	9422	0	0
0.813	1	2	82	4	2	28	9422	0	0
0.814	1	1	82	5	1	28	9422	0	0
0.815	1	2	82	6	2	28	9422	0	0
0.816	1	1	82	7	1	28	9422	0	0
0.817	1	2	82	8	2	28	9422	0	0
0.818	1	1	82	9	1	28	9422	0	0
0.819	1	2	82	10	2	28	9422	0	0
0.821	1	1	83	2	1	28	9422	0	0
0.822	1	2	83	3	2	28	9422	0	0
0.823	1	1	83	4	1	28	9422	0	0
0.824	1	2	83	5	2	28	9422	0	0
0.825	1	1	83	6	1	28	9422	0	0
0.826	1	2	83	7	2	28	9422	0	0
0.827	1	1	83	8	1	28	9422	0	0
0.828	1	2	83	9	2	28	9422	0	0
0.83	1	1	84	1	1	28	9422	0	0
0.831	1	2	84	2	2	28	9422	0	0
0.832	1	1	84	3	1	28	9422	0	0
0.833	1	2	84	4	2	28	9422	0	0
0.834	1	1	84	5	1	28	9422	0	0
0.835	1	2	84	6	2	28	9422	0	0
0.836	1	1	84	7	1	28	9422	0	0
0.837	1	2	84	8	2	28	9422	0	0
0.839	1	1	84	10	1	28	9422	0	0
0.84	1	2	85	1	2	28	9422	0	0
0.841	1	1	85	2	1	28	9422	0	0
0.842	1	2	85	3	2	28	9422	0	0
0.843	1	1	85	4	1	28	9422	0	0
0.844	1	2	85	5	2	28	9422	0	0
0.845	1	1	85	6	1	28	9422	0	0
0.846	1	2	85	7	2	28	9422	0	0
0.847	1	1	85	8	1	28	9422	0	0
0.848	1	2	85	9	2	28	9422	0	0
0.85	1	1	86	1	1	28	9422	0	0
0.851	1	2	86	2	2	28	9422	0	0
0.852	1	1	86	3	1	28	9422	0	0
0.853	1	2	86	4	2	28	9422	0	0
0.854	1	1	86	5	1	28	9422	0	0
0.855	1	2	86	6	2	28	9422	0	0
0.856	1	1	86	7	1	28	9422	0	0
0.857	1	2	86	8	2	28	9422	0	0
0.859	1	1	86	10	1	28	9422	0	0
0.86	1	2	87	1	2	28	9422	0	0
0.861	1	1	87	2	1	28	9422	0	0
0.862	1	2	87	3	2	28	9422	0	0
0.863	1	1	87	4	1	28	9422	0	0
0.864	1	2	87	5	2	28	9422	0	0
0.865	1	1	87	6	1	28	9422	0	0
0.866	1	2	87	7	2	28	9422	0	0
0.868	1	1	87	9	1	28	9422	0	0
0.869	1	2	87	10	2	28	9422	0	0
0.87	1	1	88	1	1	28	9422	0	0
0.871	1	2	88	2	2	28	9422	0	0
0.872	1	1	88	3	1	28	9422	0	0
0.873	1	2	88	4	2	28	9422	0	0
0.874	1	1	88	5	1	28	9422	0	0
0.875	1	2	88	6	2	28	9422	0	0
0.877	1	1	88	8	1	28	9422	0	0
0.878	1	2	88	9	2	28	9422	0	0
0.879	1	1	88	10	1	28	9422	0	0
0.88	1	2	89	1	2	28	9422	0	0
0.881	1	1	89	2	1	28	9422	0	0
0.882	1	2	89	3	2	28	9422	0	0
0.883	1	1	89	4	1	28	9422	0	0
0.884	1	2	89	5	2	28	9422	0	0
0.886	1	1	89	7	1	28	9422	0	0
0.887	1	2	89	8	2	28	9422	0	0
0.888	1	1	89	9	1	28	9422	0	0
0.889	1	2	89	10	2	28	9422	0	0
0.89	1	1	90	1	1	28	9422	0	0
0.891	1	2	90	2	2	28	9422	0	0
0.892	1	1	90	3	1	28	9422	0	0
0.893	1	2	90	4	2	28	9422	0	0
0.895	1	1	90	6	1	28	9422	0	0
0.896	1	2	90	7	2	28	9422	0	0
0.897	1	1	90	8	1	28	9422	0	0
0.898	1	2	90	9	2	28	9422	0	0
0.899	1	1	90	10	1	28	9422	0	0
0.9	1	2	91	1	2	28	9422	0	0
0.901	1	1	91	2	1	28	9422	0	0
0.902	1	2	91	3	2	28	9422	0	0
0.903	1	1	91	4	1	28	9422	0	0
0.904	1	2	91	5	2	28	9422	0	0
0.906	1	1	91	7	1	28	9422	0	0
0.907	1	2	91	8	2	28	9422	0	0
0.908	1	1	91	9	1	28	9422	0	0
0.909	1	2	91	10	2	28	9422	0	0
0.91	1	1	92	1	1	28	9422	0	0
0.911	1	2	92	2	2	28	9422	0	0
0.912	1	1	92	3	1	28	9422	0	0
0.913	1	2	92	4	2	28	9422	0	0
0.915	1	1	92	6	1	28	9422	0	0
0.916	1	2	92	7	2	28	9422	0	0
0.917	1	1	92	8	1	28	9422	0	0
0.918	1	2	92	9	2	28	9422	0	0
0.919	1	1	92	10	1	28	9422	0	0
0.92	1	2	93	1	2	28	9422	0	0
0.921	1	1	93	2	1	28	9422	0	0
0.922	1	2	93	3	2	28	9422	0	0
0.924	1	1	93	5	1	28	9422	0	0
0.925	1	2	93	6	2	28	9422	0	0
0.926	1	1	93	7	1	28	9422	0	0
0.927	1	2	93	8	2	28	9422	0	0
0.928	1	1	93	9	1	28	9422	0	0
0.929	1	2	93	10	2	28	9422	0	0
0.93	1	1	94	1	1	28	9422	0	0
0.931	1	2	94	2	2	28	9422	0	0
0.933	1	1	94	4	1	28	9422	0	0
0.934	1	2	94	5	2	28	9422	0	0
0.935	1	1	94	6	1	28	9422	0	0
0.936	1	2	94	7	2	28	9422	0	0
0.937	1	1	94	8	1	28	9422	0	0
0.938	1	2	94	9	2	28	9422	0	0
0.939	1	1	94	10	1	28	9422	0	0
0.94	1	2	95	1	2	28	9422	0	0
0.942	1	1	95	3	1	28	9422	0	0
0.943	1	2	95	4	2	28	9422	0	0
0.944	1	1	95	5	1	28	9422	0	0
0.945	1	2	95	6	2	28	9422	0	0
0.946	1	1	95	7	1	28	9422	0	0
0.947	1	2	95	8	2	28	9422	0	0
0.948	1	1	95	9	1	28	9422	0	0
0.949	1	2	95	10	2	28	9422	0	0
0.951	1	1	96	2	1	28	9422	0	0
0.952	1	2	96	3	2	28	9422	0	0
0.953	1	1	96	4	1	28	9422	0	0
0.954	1	2	96	5	2	28	9422	0	0
0.955	1	1	96	6	1	28	9422	0	0
0.956	1	2	96	7	2	28	9422	0	0
0.957	1	1	96	8	1	28	9422	0	0
0.958	1	2	96	9	2	28	9422	0	0
0.959	1	1	96	10	1	28	9422	0	0
0.96	1	2	97	1	2	28	9422	0	0
0.962	1	1	97	3	1	28	9422	0	0
0.963	1	2	97	4	2	28	9422	0	0
0.964	1	1	97	5	1	28	9422	0	0
0.965	1	2	97	6	2	28	9422	0	0
0.966	1	1	97	7	1	28	9422	0	0
0.967	1	2	97	8	2	28	9422	0	0
0.968	1	1	97	9	1	28	9422	0	0
0.969	1	2	97	10	2	28	9422	0	0
0.971	1	1	98	2	1	28	9422	0	0
0.972	1	2	98	3	2	28	9422	0	0
0.973	1	1	98	4	1	28	9422	0	0
0.974	1	2	98	5	2	28	9422	0	0
0.975	1	1	98	6	1	28	9422	0	0
0.976	1	2	98	7	2	28	9422	0	0
0.977	1	1	98	8	1	28	9422	0	0
0.978	1	2	98	9	2	28	9422	0	0
0.98	1	1	99	1	1	28	9422	0	0
0.981	1	2	99	2	2	28	9422	0	0
0.982	1	1	99	3	1	28	9422	0	0
0.983	1	2	99	4	2	28	9422	0	0
0.984	1	1	99	5	1	28	9422	0	0
0.985	1	2	99	6	2	28	9422	0	0
0.986	1	1	99	7	1	28	9422	0	0
0.987	1	2	99	8	2	28	9422	0	0
0.989	1	1	99	10	1	28	9422	0	0
0.99	1	2	100	1	2	28	9422	0	0
0.991	1	1	100	2	1	28	9422	0	0
0.992	1	2	100	3	2	28	9422	0	0
0.993	1	1	100	4	1	28	9422	0	0
0.994	1	2	100	5	2	28	9422	0	0
0.995	1	1	100	6	1	28	9422	0	0
0.996	1	2	100	7	2	28	9422	0	0
0.998	1	1	100	9	1	28	9422	0	0
0.999	1	2	100	10	2	28	9422	0	0
1	1	1	101	1	1	28	9422	0	0
1.001	1	2	101	2	2	28	9422	0	0
1.002	1	1	101	3	1	28	9422	0	0
1.003	1	2	101	4	2	28	9422	0	0
1.004	1	1	101	5	1	28	9422	0	0
1.005	1	2	101	6	2	28	9422	0	0
1.007	1	1	101	8	1	28	9422	0	0
1.008	1	2	101	9	2	28	9422	0	0
1.009	1	1	101	10	1	28	9422	0	0
1.01	1	2	102	1	2	28	9422	0	0
1.011	1	1	102	2	1	28	9422	0	0
1.012	1	2	102	3	2	28	9422	0	0
1.013	1	1	102	4	1	28	9422	0	0
1.014	1	2	102	5	2	28	9422	0	0
1.015	1	1	102	6	1	28	9422	0	0
1.016	1	2	102	7	2	28	9422	0	0
1.018	1	1	102	9	1	28	9422	0	0
1.019	1	2	102	10	2	28	9422	0	0
1.02	1	1	103	1	1	28	9422	0	0
1.021	1	2	103	2	2	28	9422	0	0
1.022	1	1	103	3	1	28	9422	0	0
1.023	1	2	103	4	2	28	9422	0	0
1.024	1	1	103	5	1	28	9422	0	0
1.025	1	2	103	6	2	28	9422	0	0
1.027	1	1	103	8	1	28	9422	0	0
1.028	1	2	103	9	2	28	9422	0	0
1.029	1	1	103	10	1	28	9422	0	0
1.03	1	2	104	1	2	28	9422	0	0
1.031	1	1	104	2	1	28	9422	0	0
1.032	1	2	104	3	2	28	9422	0	0
1.033	1	1	104	4	1	28	9422	0	0
1.034	1	2	104	5	2	28	9422	0	0
1.036	1	1	104	7	1	28	9422	0	0
1.037	1	2	104	8	2	28	9422	0	0
1.038	1	1	104	9	1	28	9422	0	0
1.039	1	2	104	10	2	28	9422	0	0
1.04	1	1	105	1	1	28	9422	0	0
1.041	1	2	105	2	2	28	9422	0	0
1.042	1	1	105	3	1	28	9422	0	0
1.043	1	2	105	4	2	28	9422	0	0
1.045	1	1	105	6	1	28	9422	0	0
1.046	1	2	105	7	2	28	9422	0	0
1.047	1	1	105	8	1	28	9422	0	0
1.048	1	2	105	9	2	28	9422	0	0
1.049	1	1	105	10	1	28	9422	0	0
1.05	1	2	106	1	2	28	9422	0	0
1.051	1	1	106	2	1	28	9422	0	0
1.052	1	2	106	3	2	28	9422	0	0
1.054	1	1	106	5	1	28	9422	0	0
1.055	1	2	106	6	2	28	9422	0	0
1.056	1	1	106	7	1	28	9422	0	0
1.057	1	2	106	8	2	28	9422	0	0
1.058	1	1	106	9	1	28	9422	0	0
1.059	1	2	106	10	2	28	9422	0	0
1.06	1	1	107	1	1	28	9422	0	0
1.061	1	2	107	2	2	28	9422	0	0
1.063	1	1	107	4	1	28	9422	0	0
1.064	1	2	107	5	2	28	9422	0	0
1.065	1	1	107	6	1	28	9422	0	0
1.066	1	2	107	7	2	28	9422	0	0
1.067	1	1	107	8	1	28	9422	0	0
1.068	1	2	107	9	2	28	9422	0	0
1.069	1	1	107	10	1	28	9422	0	0
1.07	1	2	108	1	2	28	9422	0	0
1.071	1	1	108	2	1	28	9422	0	0
1.072	1	2	108	3	2	28	9422	0	0
1.074	1	1	108	5	1	28	9422	0	0
1.075	1	2	108	6	2	28	9422	0	0
1.076	1	1	108	7	1	28	9422	0	0
1.077	1	2	108	8	2	28	9422	0	0
1.078	1	1	108	9	1	28	9422	0	0
1.079	1	2	108	10	2	28	9422	0	0
1.08	1	1	109	1	1	28	9422	0	0
1.081	1	2	109	2	2	28	9422	0	0
1.083	1	1	109	4	1	28	9422	0	0
1.084	1	2	109	5	2	28	9422	0	0
